gejala1,gejala2,gejala3,jenis_motor,merk_motor,tahun,km_motor,pernah_servis,permasalahan_motor,solusi
kopling terlalu keras,kesulitan berpindah gigi,sulit distarter,matic,honda,2020,25000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2019,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis,bau gas berlebihan,tidak bisa berakselerasi,matic,suzuki,2022,28000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
kebocoran oli,kopling terlalu keras,mesin mati mendadak,matic,honda,2021,23000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara aneh dari knalpot,getaran berlebihan,kesulitan berpindah gigi,manual,yamaha,2020,20000,ya,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
kopling terlalu lembek,bau aneh dari knalpot,tidak bisa berakselerasi,matic,honda,2018,19000,ya,masalah transmisi,ganti kopling dan periksa gearbox
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2021,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau aneh dari knalpot,kesulitan berpindah gigi,tidak bisa berakselerasi,matic,suzuki,2019,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis dari mesin,kesulitan berpindah gigi,sulit distarter,manual,honda,2022,26000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
suara mendesis,bau gas berlebihan,tidak bisa berakselerasi,matic,yamaha,2017,20000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
suara aneh dari knalpot,kesulitan berpindah gigi,tidak bisa berakselerasi,manual,suzuki,2022,28000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis dari mesin,kesulitan berpindah gigi,sulit distarter,manual,honda,2022,26000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
kebocoran oli,bau gas berlebihan,tidak bisa berakselerasi,matic,yamaha,2017,20000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
suara mendesis,rem tidak pakem,mesin terlalu panas,manual,suzuki,2018,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
kopling terlalu keras,kesulitan berpindah gigi,sulit distarter,matic,honda,2020,25000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2019,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis,bau gas berlebihan,tidak bisa berakselerasi,matic,suzuki,2022,28000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
kebocoran oli,kopling terlalu keras,mesin mati mendadak,matic,honda,2021,23000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara aneh dari knalpot,getaran berlebihan,kesulitan berpindah gigi,manual,yamaha,2020,20000,ya,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
kopling terlalu lembek,bau aneh dari knalpot,tidak bisa berakselerasi,matic,honda,2018,19000,ya,masalah transmisi,ganti kopling dan periksa gearbox
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2021,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau aneh dari knalpot,kesulitan berpindah gigi,tidak bisa berakselerasi,matic,suzuki,2019,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis dari mesin,kesulitan berpindah gigi,sulit distarter,manual,honda,2022,26000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
suara mendesis,rem tidak pakem,mesin terlalu panas,manual,suzuki,2018,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
kopling terlalu keras,kesulitan berpindah gigi,sulit distarter,matic,honda,2020,25000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2019,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis,bau gas berlebihan,tidak bisa berakselerasi,matic,suzuki,2022,28000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
kebocoran oli,kopling terlalu keras,mesin mati mendadak,matic,honda,2021,23000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara aneh dari knalpot,getaran berlebihan,kesulitan berpindah gigi,manual,yamaha,2020,20000,ya,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
kopling terlalu lembek,bau aneh dari knalpot,tidak bisa berakselerasi,matic,honda,2018,19000,ya,masalah transmisi,ganti kopling dan periksa gearbox
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2021,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau aneh dari knalpot,kesulitan berpindah gigi,tidak bisa berakselerasi,matic,suzuki,2019,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis dari mesin,kesulitan berpindah gigi,sulit distarter,manual,honda,2022,26000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
suara mendesis,bau gas berlebihan,tidak bisa berakselerasi,matic,yamaha,2017,20000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
suara aneh dari knalpot,kesulitan berpindah gigi,tidak bisa berakselerasi,manual,suzuki,2022,28000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis dari mesin,kesulitan berpindah gigi,sulit distarter,manual,honda,2022,26000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
kebocoran oli,bau gas berlebihan,tidak bisa berakselerasi,matic,yamaha,2017,20000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
suara mendesis,rem tidak pakem,mesin terlalu panas,manual,suzuki,2018,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
kopling terlalu keras,kesulitan berpindah gigi,sulit distarter,matic,honda,2020,25000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2019,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis,bau gas berlebihan,tidak bisa berakselerasi,matic,suzuki,2022,28000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
kebocoran oli,kopling terlalu keras,mesin mati mendadak,matic,honda,2021,23000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara aneh dari knalpot,getaran berlebihan,kesulitan berpindah gigi,manual,yamaha,2020,20000,ya,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
kopling terlalu lembek,bau aneh dari knalpot,tidak bisa berakselerasi,matic,honda,2018,19000,ya,masalah transmisi,ganti kopling dan periksa gearbox
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2021,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau aneh dari knalpot,kesulitan berpindah gigi,tidak bisa berakselerasi,matic,suzuki,2019,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis dari mesin,kesulitan berpindah gigi,sulit distarter,manual,honda,2022,26000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
suara mendesis,rem tidak pakem,mesin terlalu panas,manual,suzuki,2018,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
kopling terlalu keras,kesulitan berpindah gigi,sulit distarter,matic,honda,2020,25000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2019,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis,bau gas berlebihan,tidak bisa berakselerasi,matic,suzuki,2022,28000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
kebocoran oli,kopling terlalu keras,mesin mati mendadak,matic,honda,2021,23000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara aneh dari knalpot,getaran berlebihan,kesulitan berpindah gigi,manual,yamaha,2020,20000,ya,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
kopling terlalu lembek,bau aneh dari knalpot,tidak bisa berakselerasi,matic,honda,2018,19000,ya,masalah transmisi,ganti kopling dan periksa gearbox
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2021,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau aneh dari knalpot,kesulitan berpindah gigi,tidak bisa berakselerasi,matic,suzuki,2019,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis dari mesin,kesulitan berpindah gigi,sulit distarter,manual,honda,2022,26000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
oli berlebihan,bau gas berlebihan,tidak bisa berakselerasi,matic,yamaha,2017,20000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
suara mendesis,rem tidak pakem,mesin terlalu panas,manual,suzuki,2018,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
kopling terlalu keras,kesulitan berpindah gigi,sulit distarter,matic,honda,2020,25000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2019,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis,bau gas berlebihan,tidak bisa berakselerasi,matic,suzuki,2022,28000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
kebocoran oli,kopling terlalu keras,mesin mati mendadak,matic,honda,2021,23000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara aneh dari knalpot,getaran berlebihan,kesulitan berpindah gigi,manual,yamaha,2020,20000,ya,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
kopling terlalu lembek,bau aneh dari knalpot,tidak bisa berakselerasi,matic,honda,2018,19000,ya,masalah transmisi,ganti kopling dan periksa gearbox
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2021,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau aneh dari knalpot,kesulitan berpindah gigi,tidak bisa berakselerasi,matic,suzuki,2019,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis dari mesin,kesulitan berpindah gigi,sulit distarter,manual,honda,2022,26000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
suara mendesis,rem tidak pakem,mesin terlalu panas,manual,suzuki,2018,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
kopling terlalu keras,kesulitan berpindah gigi,sulit distarter,matic,honda,2020,25000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2019,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis,bau gas berlebihan,tidak bisa berakselerasi,matic,suzuki,2022,28000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
kebocoran oli,kopling terlalu keras,mesin mati mendadak,matic,honda,2021,23000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
suara aneh dari knalpot,getaran berlebihan,kesulitan berpindah gigi,manual,yamaha,2020,20000,ya,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
kopling terlalu lembek,bau aneh dari knalpot,tidak bisa berakselerasi,matic,honda,2018,19000,ya,masalah transmisi,ganti kopling dan periksa gearbox
rem berderit,suara mendesis,sulit distarter,manual,yamaha,2021,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau aneh dari knalpot,kesulitan berpindah gigi,tidak bisa berakselerasi,matic,suzuki,2019,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis dari mesin,kesulitan berpindah gigi,sulit distarter,manual,honda,2022,26000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
suara mendesis,rem tidak pakem,mesin terlalu panas,manual,suzuki,2018,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
kopling terlalu keras,kesulitan berpindah gigi,sulit distarter,matic,honda,2020,25000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
kebocoran oli,suara aneh,sulit distarter,matic,yamaha,2022,18000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau gas berlebihan,rem berderit,mesin mati mendadak,manual,suzuki,2019,22000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
getaran berlebihan,kopling terlalu lembek,sulit distarter,matic,honda,2021,25000,ya,masalah transmisi,ganti oli transmisi dan periksa kopling
suara mendesis,kesulitan berpindah gigi,bau aneh dari knalpot,manual,yamaha,2020,20000,ya,masalah knalpot,periksa dan bersihkan knalpot atau ganti jika diperlukan
kopling terlalu keras,kesulitan berpindah gigi,bau gas berlebihan,matic,honda,2022,28000,tidak,masalah mesin,lakukan penyetelan mesin dan periksa sistem pembakaran
suara mendesis,bau gas berlebihan,sulit distarter,manual,suzuki,2018,23000,tidak,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
rem tidak pakem,suara mendesis,mesin terlalu panas,matic,yamaha,2021,24000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
suara aneh,kesulitan berpindah gigi,sulit distarter,manual,honda,2019,20000,ya,masalah transmisi,ganti oli transmisi dan periksa kopling
kebocoran oli,suara mendesis,sulit distarter,matic,suzuki,2020,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau gas berlebihan,kopling terlalu keras,mesin mati mendadak,manual,yamaha,2017,18000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
getaran berlebihan,rem berderit,kesulitan berpindah gigi,matic,honda,2022,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis,bau gas berlebihan,sulit distarter,manual,suzuki,2018,20000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
kopling terlalu lembek,suara mendesis,mesin terlalu panas,matic,yamaha,2021,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
rem tidak pakem,kesulitan berpindah gigi,bau aneh dari knalpot,manual,honda,2019,25000,tidak,masalah knalpot,periksa dan bersihkan knalpot atau ganti jika diperlukan
suara aneh,kopling terlalu keras,sulit distarter,matic,suzuki,2020,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
kebocoran oli,kesulitan berpindah gigi,bau gas berlebihan,manual,yamaha,2017,19000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
getaran berlebihan,suara mendesis,sulit distarter,matic,honda,2022,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau gas berlebihan,rem tidak pakem,mesin mati mendadak,manual,suzuki,2018,22000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
suara mendesis,kesulitan berpindah gigi,sulit distarter,matic,yamaha,2021,21000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
kopling terlalu keras,suara aneh,sulit distarter,manual,honda,2019,23000,ya,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis,rem tidak pakem,kesulitan berpindah gigi,matic,yamaha,2021,18000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
kopling terlalu lembek,bau gas berlebihan,mesin mati mendadak,manual,suzuki,2019,22000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
getaran berlebihan,kopling terlalu keras,sulit distarter,matic,honda,2021,25000,ya,masalah mesin,lakukan penyetelan mesin dan periksa sistem pembakaran
suara mendesis,kesulitan berpindah gigi,bau aneh dari knalpot,manual,yamaha,2020,20000,ya,masalah knalpot,periksa dan bersihkan knalpot atau ganti jika diperlukan
kopling terlalu keras,kesulitan berpindah gigi,bau gas berlebihan,matic,honda,2022,28000,tidak,masalah mesin,lakukan penyetelan mesin dan periksa sistem pembakaran
suara mendesis,bau gas berlebihan,sulit distarter,manual,suzuki,2018,23000,tidak,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
rem tidak pakem,suara mendesis,mesin terlalu panas,matic,yamaha,2021,24000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
suara aneh,kesulitan berpindah gigi,sulit distarter,manual,honda,2019,20000,ya,masalah transmisi,ganti oli transmisi dan periksa kopling
kebocoran oli,suara mendesis,sulit distarter,matic,suzuki,2020,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau gas berlebihan,kopling terlalu keras,mesin mati mendadak,manual,yamaha,2017,18000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
getaran berlebihan,rem berderit,kesulitan berpindah gigi,matic,honda,2022,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis,bau gas berlebihan,sulit distarter,manual,suzuki,2018,20000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
kopling terlalu lembek,suara mendesis,mesin terlalu panas,matic,yamaha,2021,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
rem tidak pakem,kesulitan berpindah gigi,bau aneh dari knalpot,manual,honda,2019,25000,tidak,masalah knalpot,periksa dan bersihkan knalpot atau ganti jika diperlukan
suara aneh,kopling terlalu keras,sulit distarter,matic,suzuki,2020,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
kebocoran oli,kesulitan berpindah gigi,bau gas berlebihan,manual,yamaha,2017,19000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
getaran berlebihan,suara mendesis,sulit distarter,matic,honda,2022,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau gas berlebihan,rem tidak pakem,mesin mati mendadak,manual,suzuki,2018,22000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
suara mendesis,kesulitan berpindah gigi,sulit distarter,matic,yamaha,2021,21000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
kopling terlalu keras,suara aneh,sulit distarter,manual,honda,2019,23000,ya,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis,rem tidak pakem,kesulitan berpindah gigi,matic,yamaha,2021,18000,tidak,masalah transmisi,ganti oli transmisi dan periksa kopling
kopling terlalu lembek,bau gas berlebihan,mesin mati mendadak,manual,suzuki,2019,22000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
getaran berlebihan,kopling terlalu keras,sulit distarter,matic,honda,2021,25000,ya,masalah mesin,lakukan penyetelan mesin dan periksa sistem pembakaran
suara mendesis,kesulitan berpindah gigi,bau aneh dari knalpot,manual,yamaha,2020,20000,ya,masalah knalpot,periksa dan bersihkan knalpot atau ganti jika diperlukan
kopling terlalu keras,kesulitan berpindah gigi,bau gas berlebihan,matic,honda,2022,28000,tidak,masalah mesin,lakukan penyetelan mesin dan periksa sistem pembakaran
suara mendesis,bau gas berlebihan,sulit distarter,manual,suzuki,2018,23000,tidak,masalah transmisi,periksa dan ganti kopling atau lakukan penyetelan transmisi
rem tidak pakem,suara mendesis,mesin terlalu panas,matic,yamaha,2021,24000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
suara aneh,kesulitan berpindah gigi,sulit distarter,manual,honda,2019,20000,ya,masalah transmisi,ganti oli transmisi dan periksa kopling
kebocoran oli,suara mendesis,sulit distarter,matic,suzuki,2020,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
bau gas berlebihan,kopling terlalu keras,mesin mati mendadak,manual,yamaha,2017,18000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
getaran berlebihan,rem berderit,kesulitan berpindah gigi,matic,honda,2022,22000,ya,masalah transmisi,lakukan penyetelan transmisi dan ganti oli transmisi
suara mendesis,bau gas berlebihan,sulit distarter,manual,suzuki,2018,20000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
kopling terlalu lembek,suara mendesis,mesin terlalu panas,matic,yamaha,2021,23000,ya,masalah pendingin,bersihkan radiator dan ganti cairan pendingin
rem tidak pakem,kesulitan berpindah gigi,bau aneh dari knalpot,manual,honda,2019,25000,tidak,masalah knalpot,periksa dan bersihkan knalpot atau ganti jika diperlukan
suara aneh,kopling terlalu keras,sulit distarter,matic,suzuki,2020,21000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
kebocoran oli,kesulitan berpindah gigi,bau gas berlebihan,manual,yamaha,2017,19000,ya,masalah sistem bahan bakar,ganti filter bahan bakar dan periksa tekanan bahan bakar
getaran berlebihan,suara mendesis,sulit distarter,matic,honda,2022,24000,tidak,masalah mesin,periksa sistem pembakaran dan ganti busi
kopling terlalu keras,suara aneh,kesulitan memulai,manual,honda,2019,23000,ya,masalah mesin,periksa sistem pembakaran dan ganti busi
